City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Komsomolskiy,UZ,40.4272,71.7189,43.52,56,100,4.61,overcast clouds
295,Katsuura,JP,35.1333,140.3,51.12,52,5,27.27,clear sky
296,Pochutla,MX,15.7432,-96.4661,71.82,60,0,3.2,clear sky
297,Lewisporte,CA,49.2499,-55.0482,8.98,69,55,13.18,broken clouds
298,Chimoio,MZ,-19.1164,33.4833,75.06,83,75,12.66,broken clouds
299,Araioses,BR,-2.89,-41.9031,75.6,89,99,8.34,light rain
300,Matamoros,MX,25.5333,-103.25,58.23,35,0,4.74,clear sky
301,Port Lincoln,AU,-34.7333,135.8667,64.92,75,30,13.35,scattered clouds
302,Sabang,ID,5.8933,95.3214,82.47,72,100,1.74,overcast clouds
303,Alofi,NU,-19.0595,-169.9187,75.09,88,45,1.14,scattered clouds
304,Berlevag,NO,70.8578,29.0864,30.15,64,75,12.66,broken clouds
305,Grand-Bourg,GP,15.8835,-61.3148,75.15,74,10,24.65,clear sky
306,Kourou,GF,5.1552,-52.6478,78.12,91,100,11.07,overcast clouds
307,Faanui,PF,-16.4833,-151.75,80.42,75,25,15.35,light rain
308,Iskateley,RU,67.6803,53.1512,11.21,90,98,11.72,overcast clouds
309,Takapau,NZ,-40.0333,176.35,59.45,95,1,2.95,clear sky
310,Benoy,TD,8.9833,16.3199,80.65,10,4,6.04,clear sky
311,Ribeira Grande,PT,38.5167,-28.7,61.2,88,75,16.11,broken clouds
312,Atbasar,KZ,51.8,68.3333,13.33,89,94,13.62,overcast clouds
313,Solenzo,BF,12.1833,-4.0833,79.68,12,0,10.54,clear sky
314,Bayanday,RU,53.0661,105.5139,4.19,85,98,4.81,overcast clouds
315,Opuwo,NA,-18.0607,13.84,76.3,61,99,10.63,light rain
316,Cascais,PT,38.6979,-9.4215,57.51,80,40,20.0,scattered clouds
317,Arandas,MX,20.7,-102.35,52.3,48,20,2.01,few clouds
318,Provideniya,RU,64.3833,-173.3,-3.96,90,96,14.85,overcast clouds
319,Antofagasta,CL,-23.65,-70.4,63.68,85,40,2.35,scattered clouds
320,Codrington,AU,-38.2667,141.9667,63.93,72,100,11.12,light rain
321,Tornio,FI,65.8481,24.1466,15.82,84,100,11.83,overcast clouds
322,Mackay,AU,-21.15,149.2,79.68,89,40,12.66,light rain
323,Junin,AR,-34.5838,-60.9433,64.87,40,0,8.28,clear sky
324,Kutum,SD,14.2,24.6667,71.46,11,7,15.12,clear sky
325,Mount Gambier,AU,-37.8333,140.7667,66.11,59,100,11.5,overcast clouds
326,Fort Saint James,CA,54.4333,-124.25,20.5,97,21,3.2,few clouds
327,Udachnyy,RU,66.4167,112.4,-17.55,75,26,3.56,scattered clouds
328,Vitoria,BR,-20.3194,-40.3378,73.26,98,75,2.3,light rain
329,Ingham,US,42.6,-84.3833,37.18,68,0,12.66,clear sky
330,Luderitz,NA,-26.6481,15.1594,78.37,61,1,17.25,clear sky
331,Kristiansund,NO,63.1115,7.732,34.45,64,75,4.61,broken clouds
332,Zhigansk,RU,66.7697,123.3711,-33.57,99,37,5.23,scattered clouds
333,Bom Jardim,BR,-7.7958,-35.5872,73.74,80,98,3.53,overcast clouds
334,Praya,CV,14.9215,-23.5087,72.14,64,0,19.57,clear sky
335,Belomorsk,RU,64.5232,34.7668,26.51,97,100,3.36,light snow
336,Gebre Guracha,ET,9.8,38.4,73.56,24,8,4.07,clear sky
337,Suntar,RU,62.1444,117.6319,-14.3,98,97,3.15,overcast clouds
338,Olafsvik,IS,64.8945,-23.7142,32.86,76,100,13.33,light snow
339,Iquitos,PE,-3.7481,-73.2472,73.44,100,75,3.44,broken clouds
340,Kahului,US,20.8947,-156.47,71.83,75,40,10.36,scattered clouds
341,Katoro,TZ,-3.0203,31.8958,76.87,64,93,1.07,light rain
342,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,44,0,17.27,clear sky
343,Viedma,AR,-40.8135,-62.9967,70.93,48,61,21.65,broken clouds
